하다	5287
되다	3865
가다	2925
아	2707
안	2231
있다	2023
다	1653
유저	1603
보다	1579
새끼	1344
없다	1322
야	1207
같다	1152
왜	1137
진짜	1076
아니	1025
오다	941
좀	834
좋다	817
어	817
사람	813
말	800
더	753
못	745
그냥	739
자	714
잘	686
먹다	662
개	659
알다	657
올라가다	654
오케이	653
여자	644
좆	628
충	563
지금	561
나오다	551
점프	533
빨리	531
때	530
맞다	493
치다	493
이제	478
죽다	462
쓰다	462
나다	460
남자	457
생각	436
너무	434
남	428
딱	426
살다	424
앞	409
밀다	408
위	402
애	386
나라	382
잠깐	379
많다	376
모르다	373
똥	356
또	354
존나	335
누르다	327
한국	323
노	323
주다	309
뭐	305
씨발	296
보이다	295
다시	293
와	287
만들다	285
일	281
전라도	281
돈	281
들어가다	276
그렇지	273
왼쪽	270
제발	268
성	265
같이	255
멈추다	254
병신	254
문제	250
동성애	250
죽이다	245
뒤	242
글	240
밟다	238
다음	234
움직이다	230
시발	228
목사	223
교회	223
한남	219
바로	215
올리다	215
페미	213
형	213
게임	206
틀	205
사다	205
싫다	205
게이	205
차별	204
많이	200
미치다	199
그러다	199
오른쪽	198
일베	195
내다	193
타다	192
내려가다	189
홍어	187
막다	187
다니다	186
올라오다	184
생기다	184
일단	184
떨어지다	183
들다	183
소리	183
후	182
여성	181
먼저	180
크다	180
정도	180
그래	179
머리	179
맘	178
까다	178
이슬람	175
오	173
김치	172
정신	171
슬다	171
지랄	169
문	168
빨다	168
남다	166
이상	165
조선족	162
줄	162
꼬다	157
종교	155
열쇠	155
이기다	154
비키다	154
중국	152
나가다	152
가만히	150
넘어가다	150
깨다	148
들어오다	148
집	147
아이	144
짱깨	143
끝	143
걸리다	142
재밌다	142
반대	142
인간	139
보내다	139
사회	138
내리다	138
세상	137
저	137
열다	135
개독	135
기다리다	134
이해	134
뒤지다	133
전	133
가지다	133
짓	132
아래	132
필요	131
쏘다	130
발	130
잘못	129
무슬림	128
당하다	128
시작	127
괜찮다	126
미안	125
법	123
아직	123
국민	123
자지	122
다르다	122
가능	122
가	121
답	121
절대	121
힘들다	120
도	120
사실	120
네	120
재기	120
